"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Pagán, Emilio","641941","2023","273","186",0.181,0.218,-0.037000000000000005,0.306,0.396,-0.09000000000000002,0.241,0.294,-0.05299999999999999,"2.99","3.58","-0.594"
"Neris, Hector","593576","2023","273","161",0.174,0.194,-0.020000000000000018,0.292,0.332,-0.040000000000000036,0.259,0.284,-0.024999999999999967,"1.71","3.33","-1.618"
"Ferguson, Caleb","657571","2023","270","169",0.269,0.246,0.02300000000000002,0.366,0.329,0.03699999999999998,0.321,0.301,0.020000000000000018,"3.43","3.77","-0.339"
"Leiter Jr., Mark","643410","2023","269","160",0.206,0.227,-0.02100000000000002,0.365,0.38,-0.015000000000000013,0.293,0.312,-0.019000000000000017,"3.50","4.07","-0.573"
"Robertson, David","502085","2023","269","163",0.221,0.205,0.016000000000000014,0.354,0.344,0.010000000000000009,0.289,0.279,0.009999999999999953,"3.03","3.21","-0.179"
"McHugh, Collin","543521","2023","268","194",0.293,0.286,0.007000000000000006,0.397,0.427,-0.02999999999999997,0.335,0.344,-0.008999999999999952,"4.29","5.06","-0.765"
"Castro, Miguel","612434","2023","268","180",0.213,0.234,-0.02100000000000002,0.36,0.379,-0.019000000000000017,0.286,0.303,-0.017000000000000015,"4.31","3.82","0.494"
"Pressly, Ryan","519151","2023","268","177",0.22,0.236,-0.015999999999999986,0.358,0.399,-0.041000000000000036,0.269,0.294,-0.024999999999999967,"3.58","3.58","0.002"
"Abreu, Albert","656061","2023","268","165",0.231,0.224,0.007000000000000006,0.404,0.395,0.009000000000000008,0.332,0.33,0.0020000000000000018,"4.73","4.61","0.119"
"VerHagen, Drew","572403","2023","268","173",0.226,0.222,0.0040000000000000036,0.396,0.376,0.020000000000000018,0.314,0.308,0.006000000000000005,"3.98","3.96","0.024"
"Moll, Sam","594580","2023","268","163",0.206,0.199,0.0069999999999999785,0.289,0.281,0.007999999999999952,0.265,0.263,0.0020000000000000018,"3.03","2.84","0.192"
"Bummer, Aaron","607481","2023","267","148",0.236,0.215,0.02099999999999999,0.347,0.297,0.04999999999999999,0.313,0.291,0.02200000000000002,"6.79","3.51","3.279"
"García, Luis","472610","2023","267","184",0.252,0.254,-0.0020000000000000018,0.372,0.354,0.018000000000000016,0.313,0.311,0.0020000000000000018,"4.07","4.04","0.033"
"Cisnero, José","542585","2023","267","166",0.27,0.248,0.02200000000000002,0.446,0.423,0.02300000000000002,0.344,0.33,0.013999999999999957,"5.31","4.61","0.699"
"Cortes, Nestor","641482","2023","266","176",0.244,0.218,0.025999999999999995,0.442,0.391,0.05099999999999999,0.323,0.298,0.025000000000000022,"4.97","3.69","1.284"
"Clarke, Taylor","664199","2023","266","173",0.303,0.248,0.05499999999999999,0.513,0.46,0.05299999999999999,0.376,0.341,0.034999999999999976,"5.95","4.96","0.989"
"López, Jorge","605347","2023","266","187",0.29,0.281,0.008999999999999952,0.511,0.453,0.057999999999999996,0.37,0.353,0.017000000000000015,"5.95","5.37","0.579"
"Walker, Ryan","676254","2023","263","159",0.262,0.208,0.05400000000000002,0.421,0.31,0.11099999999999999,0.328,0.271,0.056999999999999995,"3.23","3.02","0.208"
"Faedo, Alex","656412","2023","262","183",0.2,0.225,-0.024999999999999994,0.404,0.413,-0.008999999999999952,0.287,0.304,-0.017000000000000015,"4.45","3.85","0.604"
"De Los Santos, Enyel","660853","2023","262","171",0.216,0.24,-0.023999999999999994,0.332,0.388,-0.055999999999999994,0.282,0.315,-0.03300000000000003,"3.29","4.16","-0.871"
"Holmes, Clay","605280","2023","262","165",0.218,0.21,0.008000000000000007,0.291,0.286,0.0050000000000000044,0.265,0.262,0.0030000000000000027,"2.86","2.82","0.037"
"Swanson, Erik","657024","2023","262","166",0.217,0.199,0.017999999999999988,0.358,0.352,0.006000000000000005,0.28,0.271,0.009000000000000008,"2.97","3.02","-0.05"
"Gott, Trevor","641627","2023","261","176",0.267,0.238,0.029000000000000026,0.381,0.346,0.03500000000000003,0.309,0.286,0.02300000000000002,"4.19","3.38","0.81"
"Ottavino, Adam","493603","2023","261","162",0.208,0.209,-0.0010000000000000009,0.339,0.325,0.014000000000000012,0.294,0.292,0.0020000000000000018,"3.21","3.53","-0.319"
"Minter, A.J.","621345","2023","260","157",0.236,0.218,0.017999999999999988,0.354,0.36,-0.006000000000000005,0.283,0.284,-0.0010000000000000009,"3.76","3.33","0.428"
"Sims, Lucas","608371","2023","258","137",0.163,0.177,-0.013999999999999985,0.302,0.338,-0.03600000000000003,0.287,0.306,-0.019000000000000017,"3.10","3.90","-0.802"
"Kluber, Corey","446372","2023","257","190",0.297,0.27,0.02699999999999997,0.603,0.538,0.06499999999999995,0.407,0.375,0.03199999999999997,"7.04","6.20","0.836"
"Brazoban, Huascar","623211","2023","257","157",0.243,0.211,0.032,0.349,0.325,0.023999999999999966,0.308,0.293,0.015000000000000013,"4.14","3.56","0.582"
"Jackson, Andre","656578","2023","257","176",0.225,0.27,-0.04500000000000001,0.424,0.476,-0.05199999999999999,0.31,0.353,-0.04299999999999998,"4.99","5.37","-0.381"
"Graterol, Brusdar","660813","2023","257","194",0.221,0.244,-0.022999999999999993,0.296,0.331,-0.03500000000000003,0.245,0.273,-0.028000000000000025,"1.20","3.07","-1.867"
"Weathers, Ryan","677960","2023","257","184",0.305,0.246,0.059,0.543,0.419,0.12400000000000005,0.393,0.331,0.062,"6.55","4.64","1.915"
"Ginkel, Kevin","656464","2023","255","159",0.181,0.201,-0.020000000000000018,0.288,0.336,-0.04800000000000004,0.246,0.275,-0.029000000000000026,"2.48","3.11","-0.63"
"Duran, Jhoan","661395","2023","255","142",0.207,0.185,0.021999999999999992,0.324,0.291,0.03300000000000003,0.271,0.253,0.018000000000000016,"2.46","2.63","-0.175"
"Banks, Tanner","621383","2023","255","184",0.254,0.251,0.0030000000000000027,0.474,0.449,0.024999999999999967,0.331,0.325,0.006000000000000005,"4.43","4.45","-0.024"
"Yates, Kirby","489446","2023","254","132",0.167,0.203,-0.036000000000000004,0.314,0.383,-0.069,0.282,0.325,-0.04300000000000004,"3.28","4.45","-1.168"
"Alzolay, Adbert","640470","2023","253","168",0.225,0.241,-0.015999999999999986,0.333,0.367,-0.033999999999999975,0.269,0.293,-0.023999999999999966,"2.67","3.56","-0.888"
"Englert, Mason","669438","2023","253","193",0.291,0.304,-0.013000000000000012,0.526,0.526,0,0.368,0.381,-0.013000000000000012,"5.46","6.44","-0.976"
"Woodruff, Brandon","605540","2023","253","161",0.172,0.207,-0.035,0.322,0.327,-0.0050000000000000044,0.241,0.263,-0.02200000000000002,"2.28","2.84","-0.556"
"Milner, Hoby","571948","2023","252","178",0.209,0.218,-0.009000000000000008,0.319,0.346,-0.02699999999999997,0.251,0.27,-0.019000000000000017,"1.82","3.00","-1.181"
"Peguero, Elvis","665625","2023","252","168",0.222,0.236,-0.013999999999999985,0.303,0.337,-0.03400000000000003,0.28,0.299,-0.01899999999999996,"3.38","3.71","-0.335"
"Erceg, Lucas","668674","2023","251","141",0.245,0.209,0.036000000000000004,0.356,0.301,0.05499999999999999,0.328,0.298,0.030000000000000027,"4.75","3.69","1.055"
"Burke, Brock","656271","2023","250","187",0.271,0.267,0.0040000000000000036,0.47,0.445,0.024999999999999967,0.322,0.314,0.008000000000000007,"4.37","4.13","0.244"
"Soto, Gregory","642397","2023","250","161",0.21,0.199,0.010999999999999982,0.335,0.306,0.029000000000000026,0.274,0.262,0.01200000000000001,"4.62","2.82","1.804"
"Sewald, Paul","623149","2023","249","144",0.208,0.188,0.01999999999999999,0.353,0.312,0.04099999999999998,0.281,0.26,0.02100000000000002,"3.12","2.78","0.335"
"Chapman, Aroldis","547973","2023","249","109",0.175,0.17,0.004999999999999977,0.261,0.274,-0.013000000000000012,0.258,0.262,-0.0040000000000000036,"3.09","2.82","0.266"
"Romano, Jordan","605447","2023","248","150",0.218,0.214,0.0040000000000000036,0.35,0.353,-0.0030000000000000027,0.281,0.282,-0.0009999999999999454,"2.90","3.28","-0.382"
"Floro, Dylan","571670","2023","248","170",0.308,0.253,0.05499999999999999,0.41,0.333,0.07699999999999996,0.335,0.285,0.050000000000000044,"4.76","3.35","1.415"
"Sheehan, Emmet","686218","2023","248","157",0.21,0.187,0.022999999999999993,0.416,0.376,0.03999999999999998,0.307,0.29,0.017000000000000015,"4.92","3.48","1.443"
"Pérez, Cionel","672335","2023","247","172",0.264,0.236,0.028000000000000025,0.34,0.323,0.017000000000000015,0.311,0.296,0.015000000000000013,"3.54","3.63","-0.086"
"Okert, Steven","595345","2023","247","148",0.229,0.22,0.009000000000000008,0.427,0.398,0.02899999999999997,0.319,0.308,0.01100000000000001,"4.45","3.96","0.489"
"Poche, Colin","621363","2023","246","160",0.194,0.192,0.0020000000000000018,0.306,0.294,0.01200000000000001,0.258,0.257,0.0010000000000000009,"2.23","2.71","-0.485"
"Smith, Drew","622098","2023","244","150",0.24,0.222,0.017999999999999988,0.442,0.392,0.04999999999999999,0.341,0.322,0.019000000000000017,"4.15","4.36","-0.206"
"Diekman, Jake","518617","2023","243","140",0.183,0.196,-0.013000000000000012,0.267,0.276,-0.009000000000000008,0.271,0.283,-0.011999999999999955,"3.33","3.31","0.025"
"Puk, A.J.","640462","2023","242","149",0.241,0.207,0.034,0.42,0.368,0.05199999999999999,0.3,0.271,0.02899999999999997,"3.97","3.02","0.951"
"Martínez, Adrián","661309","2023","241","170",0.278,0.281,-0.0030000000000000027,0.448,0.456,-0.008000000000000007,0.341,0.355,-0.013999999999999957,"4.75","5.44","-0.695"
"Thompson, Mason","666168","2023","240","170",0.294,0.256,0.03799999999999998,0.417,0.39,0.02699999999999997,0.345,0.328,0.01699999999999996,"5.50","4.55","0.95"
"Adon, Joan","672851","2023","240","165",0.284,0.277,0.006999999999999951,0.483,0.476,0.007000000000000006,0.361,0.358,0.0030000000000000027,"6.45","5.55","0.895"
"Holderman, Colin","670059","2023","240","160",0.256,0.232,0.023999999999999994,0.363,0.361,0.0020000000000000018,0.299,0.294,0.0050000000000000044,"3.86","3.58","0.277"
"Law, Derek","571882","2023","240","166",0.239,0.264,-0.025000000000000022,0.364,0.391,-0.027000000000000024,0.311,0.332,-0.02100000000000002,"3.60","4.67","-1.07"
"Brasier, Ryan","518489","2023","239","160",0.197,0.228,-0.031,0.282,0.341,-0.05900000000000005,0.248,0.29,-0.04199999999999998,"3.02","3.48","-0.463"
"Hamilton, Ian","641656","2023","239","141",0.215,0.22,-0.0050000000000000044,0.297,0.322,-0.025000000000000022,0.275,0.291,-0.01599999999999996,"2.64","3.51","-0.872"
"Moreta, Dauri","664294","2023","239","136",0.187,0.188,-0.0010000000000000009,0.33,0.332,-0.0020000000000000018,0.267,0.271,-0.0040000000000000036,"3.72","3.02","0.704"
"Cabrera, Génesis","650893","2023","239","155",0.232,0.233,-0.0010000000000000009,0.408,0.42,-0.01200000000000001,0.311,0.317,-0.006000000000000005,"4.04","4.21","-0.168"
